Interface,Switch,Instant Input Power
BHM-B-3F-SW,-3.2,TenGigabitEthernet1/1/1
-5.1,BHM-B-3F-SW,TenGigabitEthernet1/1/2
BHM-B-6F-SW,-3.3,TenGigabitEthernet1/1/1
BHM-B-6F-SW,-4.8,TenGigabitEthernet1/1/2
-4.1,BHM-B-9F-SW,TenGigabitEthernet1/1/1
-40.0,TenGigabitEthernet1/1/2,BHM-B-9F-SW
BHM-B-GF-SW,-7.6,TenGigabitEthernet1/1/1
BHM-B-GF-SW,TenGigabitEthernet1/1/3,-4.4
-40.0,TenGigabitEthernet1/1/1,BHN-A-3F-SW
-40.0,TenGigabitEthernet1/1/2,BHN-A-3F-SW
-40.0,BHN-A-6F-SW,TenGigabitEthernet1/1/1
-40.0,BHN-A-6F-SW,TenGigabitEthernet1/1/2
-40.0,BHN-A-9F-SW,TenGigabitEthernet1/1/1
-40.0,BHN-A-9F-SW,TenGigabitEthernet1/1/2
-14.6,BHN-A-GF-SW,TenGigabitEthernet1/1/1
-40.0,TenGigabitEthernet1/1/2,BHN-A-GF-SW
-40.0,BHN-B-3F-SW,TenGigabitEthernet1/1/1
BHN-B-3F-SW,-2.5,TenGigabitEthernet1/1/2
-40.0,BHN-B-6F-SW,TenGigabitEthernet1/1/1
-40.0,BHN-B-6F-SW,TenGigabitEthernet1/1/2
-40.0,BHN-B-9F-SW,TenGigabitEthernet1/1/1
-40.0,BHN-B-9F-SW,TenGigabitEthernet1/1/2
BHN-B-GF-SW,-2.9,TenGigabitEthernet1/1/1
BHN-B-GF-SW,-4.5,TenGigabitEthernet1/1/2
BHP-A-3F-SW,-5.3,TenGigabitEthernet1/1/1
BHP-A-3F-SW,-3.8,TenGigabitEthernet1/1/2
-4.2,BHP-A-6F-SW,TenGigabitEthernet1/1/1
-6.0,BHP-A-6F-SW,TenGigabitEthernet1/1/2
BHP-A-9F-SW,-3.8,TenGigabitEthernet1/1/1
-24.1,BHP-A-9F-SW,TenGigabitEthernet1/1/2
BHP-A-GF-SW,-3.7,TenGigabitEthernet1/1/1
BHP-A-GF-SW,TenGigabitEthernet1/1/3,-3.8
-6.5,BHP-B-3F-SW,TenGigabitEthernet1/1/1
BHP-B-3F-SW,-3.4,TenGigabitEthernet1/1/2
BHP-B-6F-SW,-4.3,TenGigabitEthernet1/1/1
BHP-B-6F-SW,-3.2,TenGigabitEthernet1/1/2
BHP-B-9F-SW,-4.8,TenGigabitEthernet1/1/1
BHP-B-9F-SW,TenGigabitEthernet1/1/2,-40.0
BHP-B-GF-SW,-2.5,TenGigabitEthernet1/1/1
TenGigabitEthernet1/1/3,BHP-B-GF-SW,-5.3
BHP1-A-3F-SW,-11.7,TenGigabitEthernet1/1/1
-6.7,BHP1-A-3F-SW,TenGigabitEthernet1/1/2
BHP1-A-6F-SW,-5.0,TenGigabitEthernet1/1/1
BHP1-A-6F-SW,-5.1,TenGigabitEthernet1/1/2
BHP1-A-9F-SW,-4.6,TenGigabitEthernet1/1/1
-40.0,BHP1-A-9F-SW,TenGigabitEthernet1/1/2
-5.5,BHP1-A-GF-SW,TenGigabitEthernet1/1/1
TenGigabitEthernet1/1/2,BHP1-A-GF-SW,-9.3
-15.1,BHP1-B-3F-SW,TenGigabitEthernet1/1/1
