Interface,Switch,Instant Input Power
TenGigabitEthernet1/1/3,BHM-B-GF-SW,-4.3
TenGigabitEthernet1/1/1,BHN-A-3F-SW,-40
TenGigabitEthernet1/1/2,BHN-A-3F-SW,-40
TenGigabitEthernet1/1/1,BHN-A-6F-SW,-40
TenGigabitEthernet1/1/2,BHN-A-6F-SW,-40
TenGigabitEthernet1/1/1,BHN-A-9F-SW,-40
TenGigabitEthernet1/1/2,BHN-A-9F-SW,-40
TenGigabitEthernet1/1/1,BHN-A-GF-SW,-14.6
TenGigabitEthernet1/1/2,BHN-A-GF-SW,-40
TenGigabitEthernet1/1/1,BHN-B-3F-SW,-40
TenGigabitEthernet1/1/2,BHN-B-3F-SW,-2.5
TenGigabitEthernet1/1/1,BHN-B-6F-SW,-40
TenGigabitEthernet1/1/2,BHN-B-6F-SW,-40
TenGigabitEthernet1/1/1,BHN-B-9F-SW,-40
TenGigabitEthernet1/1/2,BHN-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHN-B-GF-SW,-2.9
TenGigabitEthernet1/1/2,BHN-B-GF-SW,-4.5
TenGigabitEthernet1/1/1,BHP-A-3F-SW,-5.2
TenGigabitEthernet1/1/2,BHP-A-3F-SW,-3.8
TenGigabitEthernet1/1/1,BHP-A-6F-SW,-4.2
TenGigabitEthernet1/1/2,BHP-A-6F-SW,-6
TenGigabitEthernet1/1/1,BHP-A-9F-SW,-3.8
TenGigabitEthernet1/1/2,BHP-A-9F-SW,-24.1
TenGigabitEthernet1/1/1,BHP-A-GF-SW,-3.7
TenGigabitEthernet1/1/3,BHP-A-GF-SW,-3.8
TenGigabitEthernet1/1/1,BHP-B-3F-SW,-6.5
TenGigabitEthernet1/1/2,BHP-B-3F-SW,-3.5
TenGigabitEthernet1/1/1,BHP-B-6F-SW,-4.3
TenGigabitEthernet1/1/2,BHP-B-6F-SW,-3.2
TenGigabitEthernet1/1/1,BHP-B-9F-SW,-4.8
TenGigabitEthernet1/1/2,BHP-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHP-B-GF-SW,-2.5
TenGigabitEthernet1/1/3,BHP-B-GF-SW,-5
TenGigabitEthernet1/1/1,BHP1-A-3F-SW,-11.7
TenGigabitEthernet1/1/2,BHP1-A-3F-SW,-6.7
TenGigabitEthernet1/1/1,BHP1-A-6F-SW,-5
TenGigabitEthernet1/1/2,BHP1-A-6F-SW,-5.1
TenGigabitEthernet1/1/1,BHP1-A-9F-SW,-4.6
TenGigabitEthernet1/1/2,BHP1-A-9F-SW,-40
TenGigabitEthernet1/1/1,BHP1-A-GF-SW,-5.5
TenGigabitEthernet1/1/2,BHP1-A-GF-SW,-9.4
TenGigabitEthernet1/1/1,BHP1-B-3F-SW,-15
TenGigabitEthernet1/1/2,BHP1-B-3F-SW,-7.7
TenGigabitEthernet1/1/1,BHP1-B-6F-SW,-4.3
TenGigabitEthernet1/1/2,BHP1-B-6F-SW,-6.9
TenGigabitEthernet1/1/1,BHP1-B-9F-SW,-4
TenGigabitEthernet1/1/2,BHP1-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHP1-B-GF-SW,-4.6
TenGigabitEthernet1/1/2,BHP1-B-GF-SW,-5.5
TenGigabitEthernet1/1/1,BHQ-A-3F-SW,-5
TenGigabitEthernet1/1/2,BHQ-A-3F-SW,-3.4
TenGigabitEthernet1/1/1,BHQ-A-6F-SW,-3.2
TenGigabitEthernet1/1/2,BHQ-A-6F-SW,-3.1
TenGigabitEthernet1/1/1,BHQ-A-9F-SW,-6.8
TenGigabitEthernet1/1/2,BHQ-A-9F-SW,-40
TenGigabitEthernet1/1/1,BHQ-A-GF-SW,-13.4
TenGigabitEthernet1/1/2,BHQ-A-GF-SW,-9.1
TenGigabitEthernet1/1/1,BHQ-B-3F-SW,-9.9
TenGigabitEthernet1/1/2,BHQ-B-3F-SW,-4.8
TenGigabitEthernet1/1/1,BHQ-B-6F-SW,-4.5
TenGigabitEthernet1/1/2,BHQ-B-6F-SW,-2
TenGigabitEthernet1/1/1,BHQ-B-9F-SW,-5
TenGigabitEthernet1/1/2,BHQ-B-9F-SW,-40
TenGigabitEthernet1/1/1,BHQ-B-GF-SW,-3.1
TenGigabitEthernet1/1/2,BHQ-B-GF-SW,-4
TenGigabitEthernet1/1/1,BM-1F,-4.4
TenGigabitEthernet4/1/2,BM-1F,-13
TenGigabitEthernet1/1/1,BM-2F,-4.7
TenGigabitEthernet4/1/1,BM-2F,-2.9
TenGigabitEthernet1/1/1,BM-3F,-7.1
TenGigabitEthernet3/1/1,BM-3F,-4.2
TenGigabitEthernet1/1/1,BM-GF,-3.8
TenGigabitEthernet4/1/1,BM-GF,-3.7
TenGigabitEthernet1/1/1,BT-1F,-0.6
TenGigabitEthernet2/1/1,BT-1F,-3.4
TenGigabitEthernet1/1/1,BT-2F,-2.1
TenGigabitEthernet3/1/1,BT-2F,-2.5
TenGigabitEthernet1/1/1,BT-3F,-1.1
TenGigabitEthernet3/1/1,BT-3F,-3.8
TenGigabitEthernet1/1/1,BT-GF,-1.2
TenGigabitEthernet2/1/1,BT-GF,-2
TenGigabitEthernet1/1/1,BTBM-4F,-3.2
TenGigabitEthernet2/1/1,BTBM-4F,-1.4
TenGigabitEthernet1/1/1,CAMPUS-SCHOOL-2F,-4.2
TenGigabitEthernet2/1/1,CAMPUS-SCHOOL-2F,-40
TenGigabitEthernet1/1/1,CAMPUS-SCHOOL-GF,-5
TenGigabitEthernet2/1/1,CAMPUS-SCHOOL-GF,-3.3
TenGigabitEthernet1/1/1,CC-00-R5,-3.9
TenGigabitEthernet1/1/2,CC-00-R5,-6.6
TenGigabitEthernet1/1/1,CC-R1-00,-7.1
TenGigabitEthernet1/1/2,CC-R1-00,-3.3
TenGigabitEthernet1/1/1,CC-R1-02,-6.8
TenGigabitEthernet1/1/2,CC-R1-02,-8.6
TenGigabitEthernet1/1/1,CC-R2-02,-3.9
TenGigabitEthernet1/1/2,CC-R2-02,-3.3
TenGigabitEthernet1/1/1,CC-R3-00,-3.8
TenGigabitEthernet2/1/1,CC-R3-00,-7.6
TenGigabitEthernet1/1/1,CC-R3-02,-4.5
TenGigabitEthernet1/1/2,CC-R3-02,-7.5
TenGigabitEthernet1/1/1,CC-R4-00,-6.4
TenGigabitEthernet2/1/1,CC-R4-00,-4
TenGigabitEthernet1/1/1,CC-R5-00,-3.8
TenGigabitEthernet1/1/2,CC-R5-00,-4.5
TenGigabitEthernet1/1/1,CC-R6-00,-5
TenGigabitEthernet1/1/2,CC-R6-00,-3.4
TenGigabitEthernet1/1/1,CHY-00-ACC,-3.6
TenGigabitEthernet3/1/1,CHY-00-ACC,-7.6
TenGigabitEthernet1/1/4,CHY-01-ACC,-3.1
TenGigabitEthernet4/1/4,CHY-01-ACC,-3.1
TenGigabitEthernet1/1/1,CHY-02-ACC,-2.9
TenGigabitEthernet3/1/1,CHY-02-ACC,-2.3
TenGigabitEthernet1/1/1,CHY-03-ACC,-3.1
TenGigabitEthernet3/1/1,CHY-03-ACC,-4
TenGigabitEthernet1/1/1,CHY-04-ACC,-3
TenGigabitEthernet3/1/1,CHY-04-ACC,-3.3
TenGigabitEthernet1/1/1,CHY-05-ACC,-2.8
TenGigabitEthernet4/1/1,CHY-05-ACC,-3.9
TenGigabitEthernet1/1/1,CoreLab-1F,-3.9
TenGigabitEthernet2/1/1,CoreLab-1F,-40
TenGigabitEthernet1/1/1,CoreLab-2F,-3.1
TenGigabitEthernet1/1/2,CoreLab-2F,-40
TenGigabitEthernet1/1/1,CoreLab-GF,-2.7
TenGigabitEthernet3/1/1,CoreLab-GF,-4.3
TenGigabitEthernet1/1/1,DoD-Z1-GF,-1.2
TenGigabitEthernet5/1/1,DoD-Z1-GF,-1.4
TenGigabitEthernet1/1/1,DoD-Z2-GF,-3.1
TenGigabitEthernet1/1/2,DoD-Z2-GF,-1.5
TenGigabitEthernet1/1/1,DoD-Z3-GF,-10.4
TenGigabitEthernet3/1/1,DoD-Z3-GF,-3.7
TenGigabitEthernet1/1/1,DoD-Z5-1F,-13.1
TenGigabitEthernet3/1/1,DoD-Z5-1F,-15.3
TenGigabitEthernet1/1/1,DoD-Z6-2F,-2.6
TenGigabitEthernet3/1/1,DoD-Z6-2F,-3.1
TenGigabitEthernet1/1/1,DoD-Z7-1F,-7.8
TenGigabitEthernet1/1/2,DoD-Z7-1F,-0.4
TenGigabitEthernet1/1/1,DoD-Z8-2F,-2
TenGigabitEthernet3/1/1,DoD-Z8-2F,-4.3
TenGigabitEthernet1/1/1,DoD-Z9-3F,-5.9
TenGigabitEthernet2/1/1,DoD-Z9-3F,-4.5
TenGigabitEthernet1/1/1,Hospital-1F,-15.7
TenGigabitEthernet1/1/1,IGH- R1-1F,-4.5
TenGigabitEthernet2/1/1,IGH- R1-1F,-3.5
TenGigabitEthernet1/1/1,IGH- R1-2F,-4.9
TenGigabitEthernet2/1/1,IGH- R1-2F,-40
TenGigabitEthernet1/1/1,IGH- R1-3F,-3.7
TenGigabitEthernet2/1/1,IGH- R1-3F,-40
TenGigabitEthernet1/1/1,IGH- R1-4F,-17.6
TenGigabitEthernet1/1/2,IGH- R1-4F,-40
TenGigabitEthernet1/1/1,IGH- R1-5F,-3.3
TenGigabitEthernet1/1/2,IGH- R1-5F,-3
TenGigabitEthernet1/1/1,IGH- R1-GF,-3
TenGigabitEthernet1/1/2,IGH- R1-GF,-7.1
TenGigabitEthernet1/1/1,IGH- R2-1F,-4.7
TenGigabitEthernet1/1/2,IGH- R2-1F,-5.3
TenGigabitEthernet1/1/1,IGH- R2-2F,-3.2
TenGigabitEthernet2/1/1,IGH- R2-2F,-7.4
TenGigabitEthernet1/1/1,IGH- R2-3F,-4.1
TenGigabitEthernet1/1/2,IGH- R2-3F,-0.6
TenGigabitEthernet1/1/1,IGH- R2-4F,-3.1
TenGigabitEthernet1/1/2,IGH- R2-4F,-0.6
TenGigabitEthernet1/1/1,IGH- R2-5F,-3.8
TenGigabitEthernet1/1/2,IGH- R2-5F,-0.7
TenGigabitEthernet1/1/1,IGH- R2-GF,-4.2
TenGigabitEthernet2/1/1,IGH- R2-GF,-3
TenGigabitEthernet1/1/1,IGH- R3-1F,-3.3
TenGigabitEthernet1/1/2,IGH- R3-1F,-8.7
TenGigabitEthernet1/1/1,IGH- R3-2F,-3.5
TenGigabitEthernet1/1/2,IGH- R3-2F,-7.6
TenGigabitEthernet1/1/1,IGH- R3-3F,-3.9
TenGigabitEthernet1/1/2,IGH- R3-3F,-9.6
TenGigabitEthernet1/1/1,IGH- R3-4F,-3.6
TenGigabitEthernet1/1/2,IGH- R3-4F,-3.9
TenGigabitEthernet1/1/1,IGH- R3-GF,-4.3
TenGigabitEthernet1/1/2,IGH- R3-GF,-21.2
TenGigabitEthernet1/1/1,IGH- R4-1F,-3
TenGigabitEthernet1/1/2,IGH- R4-1F,-3.8
TenGigabitEthernet1/1/1,IGH- R4-2F,-4.4
TenGigabitEthernet1/1/2,IGH- R4-2F,-3.1
TenGigabitEthernet1/1/1,IGH- R4-3F,-5.5
TenGigabitEthernet1/1/2,IGH- R4-3F,-3
TenGigabitEthernet1/1/1,IGH- R4-4F,-5.1
TenGigabitEthernet1/1/2,IGH- R4-4F,-2.7
TenGigabitEthernet1/1/1,IGH- R4-GF,-3
TenGigabitEthernet1/1/2,IGH- R4-GF,-3.2
TenGigabitEthernet1/1/1,KNC-R1-00,-2.6
TenGigabitEthernet2/1/1,KNC-R1-00,-5.7
TenGigabitEthernet1/1/1,KNC-R1-01,-40
TenGigabitEthernet1/1/2,KNC-R1-01,-3.3
TenGigabitEthernet1/1/1,KNC-R1-02,-3.2
TenGigabitEthernet2/1/1,KNC-R1-02,-6.5
TenGigabitEthernet1/1/1,KNC-R1-03,-5.1
TenGigabitEthernet2/1/1,KNC-R1-03,-5
TenGigabitEthernet1/1/1,KNC-R2-00,-4.1
TenGigabitEthernet1/1/2,KNC-R2-00,-3.5
TenGigabitEthernet1/1/1,KNC-R2-02,-3.2
TenGigabitEthernet2/1/1,KNC-R2-02,-3.6
