Hostname,Name,Description,Serial Number,Start Date,End Date
CC-00-DIS,Switch 1,C9500-16X,FJC26441BH2,2023-MAY-02,2026-MAY-02
CC-00-DIS,Switch 2,C9500-16X,FJC265115M4,2023-MAY-02,2026-MAY-02
