Hostname,IP Address,Status,Error Message
BHD-00-R1-ELV-SW1,192.168.100.41,Error,Failed to execute command
BHD-05-R1-ELV-SW1,192.168.100.43,Error,Failed to execute command
BHD-02-R2-SW1,192.168.100.45,Error,Failed to execute command
BHD-02-R1-ELV-SW1,192.168.100.42,Error,Failed to execute command
BHC-05-R2-SW1,192.168.100.34,Error,Failed to execute command
BHF-00-R1-ELV-SW1,192.168.100.61,Error,Failed to execute command
BHC-02-R1-ELV-SW1,192.168.100.32,Error,Failed to execute command
BHC-02-R2-SW1,192.168.100.35,Error,Failed to execute command
BHC-05-R1-ELV-SW1,192.168.100.33,Error,Failed to execute command
BHC-00-R1-ELV-SW1,192.168.100.31,Error,Failed to execute command
BHF-02-R2-SW1,192.168.100.65,Error,Failed to execute command
BHF-02-R1-ELV-SW1,192.168.100.62,Error,Failed to execute command
BHF-05-R1-ELV-SW1,192.168.100.63,Error,Failed to execute command
BHF-05-R2-SW1,192.168.100.64,Error,Failed to execute command
BHB-00-R1-ELV-SW1,192.168.100.21,Success
BHA-05-R2-SW1,192.168.100.14,Success
BHB-05-R1-ELV-SW1,192.168.100.23,Success
GHA-02-R1-ELV-SW1,192.168.100.202,Error,Failed to execute command
GHA-05-R1-ELV-SW1,192.168.100.203,Error,Failed to execute command
BHA-00-R1-ELV-SW1,192.168.100.11,Success
BHB-02-R1-ELV-SW1,192.168.100.22,Success
BHA-05-R1-ELV-SW1,192.168.100.13,Success
BHB-05-R2-SW1,192.168.100.24,Success
BHA-02-R1-ELV-SW1,192.168.100.12,Success
GHA-00-R1-ELV-SW1,192.168.100.201,Error,Failed to execute command
BHA-02-R2-SW1,192.168.100.15,Success
BHD-05-R2-SW1,192.168.100.44,Success
BHG-00-R1-ELV-SW1,192.168.100.71,Success
GHA-05-R2-SW1,192.168.100.204,Success
BHG-05-R1-ELV-SW1,192.168.100.73,Success
BHH-02-R2-SW1,192.168.100.85,Success
BHG-05-R2-SW1,192.168.100.74,Success
BHH-05-R2-SW1,192.168.100.84,Success
BHH-00-R1-ELV-SW1,192.168.100.81,Success
BHG-02-R2-SW1,192.168.100.75,Success
BHH-05-R1-ELV-SW1,192.168.100.83,Success
BHG-02-R1-ELV-SW1,192.168.100.72,Success
GHB-00-R1-ELV-SW1,192.168.100.211,Success
GHA-02-R2-SW1,192.168.100.205,Success
GHB-05-R2-SW1,192.168.100.214,Success
GHB-02-R1-ELV-SW1,192.168.100.212,Success
GHB-05-R1-ELV-SW1,192.168.100.213,Success
GHB-02-R2-SW1,192.168.100.215,Success
