Policy,Source,Destination,Schedule,Service,Action,IP Pool,NAT,Type,Security Profiles,Log,Bytes
Full_Access_IPS (49),Full_Access,all,always,ALL,ACCEPT,,NAT,Standard,"AV
certificate-inspection
protect_client",All,113.07 GB
98,192.168.126.2/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.179,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
97,192.168.16.150/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.75,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,1.79 MB
95,192.168.16.151/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.35,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,53.21 MB
94,192.168.16.163,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.74,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
93,"192.168.161.39
192.168.161.53/32",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.168,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,1.38 GB
92,192.168.162.161/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.161,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,214.63 MB
91,192.168.162.79/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.79,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
109,192.168.167.90/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.90,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
120,10.6.160.39-scholarship,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.114,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
119,172.18.128.27-Ragutest,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.173,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,364.04 MB
118,Central-Ground-water-Board-machine,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.131,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,597.36 MB
117,192.168.41.34/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.156,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,11.01 TB
116,192.168.41.35/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.157,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
115,10.3.0.0/255.255.224.0,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.223,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,96.33 GB
114,10.49.102.0/24,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.165,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,31.63 TB
113,172.18.110.0/Acard-C-PHD-Wifi,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.186,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
112,Acard-C-3-RD-floor,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.237,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,55.55 GB
88,"AD3-LAN
AD3-Wifi
ADMIN-LAN
DoD-LAN",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.182,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,20.61 TB
125,"AD3-Wifi
DOD-WIFI",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.181,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,4 TB
124,BTBM-LAN,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.237,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,12.08 TB
123,"CC_LAN_PHASE-2
CC-LAN",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.223,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,21.06 kB
122,FT1-Temp,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.232,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,10.71 TB
83,VC-3-FLR-RAGU,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.219,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
81,192.168.36.63/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.16,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
84,VC-Auditorium-RAgu,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.218,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,0 B
56,Guest-Wifi-LAN,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.67,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,21.01 TB
57,Hostel-A-block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.241,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,18.37 TB
58,Hostel-B-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.242,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,9.81 TB
59,Hostel-c-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.243,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,28.41 TB
60,Hostel-D-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.244,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,26.28 TB
61,Hostel-E-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.245,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,17.42 TB
Hostel-F-Block (62),Hostel-F-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.246,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,31.83 TB
Hostel-G-Block (63),Hostel-G-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.247,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,24.29 TB
Hostel-H-Block (64),Hostel-H-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.248,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,25.8 TB
Hostel-I-Block (65),Hostel-I-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.249,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,13.16 TB
Hostel-J-Block (66),Hostel-J-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.250,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,19.73 TB
Hostel-PCH-A-block-2020 (67),"Hostel-PCH-A-block-2020
Hostel-PCH-B-block-2020",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.189,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,90.83 GB
Hostel-J-LAN-Ramanujal (68),Hostel-J-LAN-Ramanujal,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.234,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,56.01 TB
69,"Hostel-K-Wing-A
Hostel-K-Wing-B
Hostel-M-B-Wing
Hostel-P-Block
Hostel-P1-
Hostel-Q-A-Wing
Hostel-Q-B-Wing
Raman-A-Wing
Raman-b-Wing
Residence-FT2
ST2-IITH",all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.235,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,206.88 TB
Hostel-L-Block (70),Hostel-L-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.236,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,29.93 TB
Hostel-M-Block (71),Hostel-M-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.166,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,26.85 TB
Hostel-N-Block (72),Hostel-N-Block,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.238,NAT,Standard,"certificate-inspection
Full_Access
Full_Access
g-default
protect_client",All,32.18 TB
128,172.18.137.220/32,all,always,Camps_LAN_Service _Group,ACCEPT,103.232.241.226,NAT,Standard,"AV
certificate-inspection
Full_Access
Full_Access
protect_client",All,0 B
