Hostname,Name,Description,Serial Number,Start Date,End Date
CC-R2-02,Switch 1,C9300L-24P-4X,FOC2644Y6BW,-,-
CC-R3-00,Switch 1,C9300L-24P-4X,FOC2644Y9G6,2023-MAR-20,2026-MAR-20
CC-R3-00,Switch 2,C9300L-24P-4X,FOC2630Y36X,2023-MAR-20,2026-MAR-20
CC-R3-02,Switch 1,C9300L-24P-4X,FOC2644Y91S,2023-MAR-20,2026-MAR-20
CC-R4-00,Switch 1,C9300L-24P-4X,FOC2644Y6PK,2023-MAR-20,2026-MAR-20
CC-R4-00,Switch 2,C9300L-24P-4X,FOC2630Y2XJ,2023-MAR-20,2026-MAR-20
CC-R5-00,Switch 1,C9300L-24P-4X,FOC2644Y91N,2023-MAR-20,2026-MAR-20
CC-R6-00,Switch 1,C9300L-24P-4X,FOC2644Y7A9,2023-MAR-20,2026-MAR-20
CC-R7-00,Switch 1,C9300L-24P-4X,FOC2644Y6GE,2023-MAR-20,2026-MAR-20
CHY-00-ACC,Switch 1,C9300L-24P-4X,FOC2630Y2M3,2022-SEP-02,2025-SEP-02
CHY-00-ACC,Switch 2,C9300L-48T-4X,FOC2650YLZJ,2022-SEP-02,2025-SEP-02
CHY-00-ACC,Switch 3,C9300L-24T-4X,FOC2651Y3BH,2022-SEP-02,2025-SEP-02
CHY-01-ACC,Switch 1,C9300L-24P-4X,FOC2630Y256,2022-SEP-02,2025-SEP-02
CHY-01-ACC,Switch 2,C9300L-48T-4X,FOC2650YK6Z,2022-SEP-02,2025-SEP-02
CHY-01-ACC,Switch 3,C9300L-48T-4X,FOC2650YJRX,2022-SEP-02,2025-SEP-02
CHY-01-ACC,Switch 4,C9300L-48T-4X,FOC2650YNC2,2022-SEP-02,2025-SEP-02
CHY-02-ACC,Switch 1,C9300L-24P-4X,FOC2630Y4NG,2022-SEP-02,2025-SEP-02
CHY-02-ACC,Switch 2,C9300L-48T-4X,FOC2650YNG0,2022-SEP-02,2025-SEP-02
CHY-02-ACC,Switch 3,C9300L-48T-4X,FOC2650YLYV,2022-SEP-02,2025-SEP-02
CHY-03-ACC,Switch 1,C9300L-24P-4X,FOC2630Y2JN,2022-SEP-02,2025-SEP-02
CHY-03-ACC,Switch 2,C9300L-48T-4X,FOC2650YL0X,2022-SEP-02,2025-SEP-02
CHY-03-ACC,Switch 3,C9300L-48T-4X,FOC2650YMEN,2022-SEP-02,2025-SEP-02
CHY-04-ACC,Switch 1,C9300L-48T-4X,FOC2650YJRS,2022-SEP-02,2025-SEP-02
CHY-04-ACC,Switch 2,C9300L-48T-4X,FOC2650YK44,2022-SEP-02,2025-SEP-02
CHY-04-ACC,Switch 3,C9300L-24P-4X,FOC2630Y3JU,2022-SEP-02,2025-SEP-02
CHY-05-ACC,Switch 1,C9300L-24P-4X,FOC2630Y2GT,2022-SEP-02,2025-SEP-02
CHY-05-ACC,Switch 2,C9300L-48T-4X,FOC2650YKFA,2022-SEP-02,2025-SEP-02
CHY-05-ACC,Switch 3,C9300L-48T-4X,FOC2650YJQU,2022-SEP-02,2025-SEP-02
CHY-05-ACC,Switch 4,C9300L-48T-4X,FOC2650YJ4S,2022-SEP-02,2025-SEP-02
CHY-Dist-SW,Switch 1,C9500-16X,FOC2631YACU,2022-SEP-02,2025-SEP-02
CHY-Dist-SW,Switch 2,C9500-16X,FOC2631YAFH,2022-SEP-02,2025-SEP-02
CoreLab-1F,Switch 1,C9300L-24P-4X,FOC2630Y2LM,2022-SEP-02,2025-SEP-02
CoreLab-1F,Switch 2,C9300L-24T-4X,FOC2651YEQQ,2022-SEP-02,2025-SEP-02
CoreLab-2F,Switch 1,C9300L-24P-4X,FOC2630Y2Y8,2022-SEP-02,2025-SEP-02
CoreLab-GF,Switch 1,C9300L-48T-4X,FOC2650YK5G,2023-APR-12,2026-APR-12
CoreLab-GF,Switch 2,C9300L-24T-4X,FOC2651YCDP,2023-APR-12,2026-APR-12
CoreLab-GF,Switch 3,C9300L-24P-4X,FOC2630Y2L4,2023-APR-12,2026-APR-12
Corelab-Dist-SW,Switch 1,C9500-16X,FOC2631YCQB,2023-JUL-04,2026-JUL-04
Corelab-Dist-SW,Switch 2,C9500-16X,FOC2631YD3F,2023-JUL-04,2026-JUL-04
DH-Dist-SW,Switch 1,C9500-16X,FOC2631YBTK,2023-JUL-04,2026-JUL-04
DH-Dist-SW,Switch 2,C9500-16X,FOC2631YD9E,2023-JUL-04,2026-JUL-04
DoD-Dist-SW,Switch 1,C9500-16X,FJC265214FQ,2023-MAY-02,2026-MAY-02
DoD-Dist-SW,Switch 2,C9500-16X,FJC26512CK2,2023-MAY-02,2026-MAY-02
DoD-Z1-GF,Switch 1,C9300L-24P-4X,FOC2630Y1T3,2022-SEP-02,2025-SEP-02
DoD-Z1-GF,Switch 2,C9300L-48T-4X,FOC2650YNZH,2022-SEP-02,2025-SEP-02
DoD-Z1-GF,Switch 3,C9300L-48T-4X,FOC2650YLUH,2022-SEP-02,2025-SEP-02
DoD-Z1-GF,Switch 4,C9300L-48T-4X,FOC2650YL3M,2022-SEP-02,2025-SEP-02
DoD-Z1-GF,Switch 5,C9300L-48T-4X,FOC2650YJQL,2022-SEP-02,2025-SEP-02
DoD-Z2-GF,Switch 1,C9300L-24P-4X,FOC2629YRB4,2022-SEP-02,2025-SEP-02
DoD-Z3-GF,Switch 1,C9300L-24P-4X,FOC2630Y1BY,2022-SEP-02,2025-SEP-02
DoD-Z3-GF,Switch 2,C9300L-24P-4X,FOC2630Y27E,2022-SEP-02,2025-SEP-02
DoD-Z3-GF,Switch 3,C9300L-24T-4X,FOC2651YDEH,2022-SEP-02,2025-SEP-02
DoD-Z5-1F,Switch 1,C9300L-24P-4X - Provisioned,,2023-JUN-24,2026-JUN-24
DoD-Z5-1F,Switch 2,C9300L-24P-4X,FOC2714Y81V,2023-JUN-24,2026-JUN-24
DoD-Z5-1F,Switch 3,C9300L-24T-4X,FOC2651YE61,2023-JUN-24,2026-JUN-24
DoD-Z6-2F,Switch 1,C9300L-24P-4X,FOC2630Y2LT,2022-SEP-02,2025-SEP-02
DoD-Z6-2F,Switch 2,C9300L-24P-4X,FOC2629YTK5,2022-SEP-02,2025-SEP-02
DoD-Z6-2F,Switch 3,C9300L-24T-4X,FOC2651YEAK,2022-SEP-02,2025-SEP-02
DoD-Z7-1F,Switch 1,C9300L-24P-4X,FOC2630Y28J,2022-SEP-02,2025-SEP-02
DoD-Z8-2F,Switch 1,C9300L-24P-4X,FOC2630Y3RG,2022-SEP-02,2025-SEP-02
DoD-Z8-2F,Switch 2,C9300L-24P-4X,FOC2630Y2J5,2022-SEP-02,2025-SEP-02
DoD-Z8-2F,Switch 3,C9300L-48T-4X,FOC2650YK12,2022-SEP-02,2025-SEP-02
DoD-Z9-3F,Switch 1,C9300L-24P-4X,FOC2630Y3KQ,2022-SEP-02,2025-SEP-02
DoD-Z9-3F,Switch 2,C9300L-24T-4X,FOC2651YE7V,2022-SEP-02,2025-SEP-02
IGH- R1-1F,Switch 1,C9300L-24T-4X,FOC2651Y3AM,2023-MAR-24,2026-MAR-24
IGH- R1-1F,Switch 2,C9300L-24P-4X,FOC2630Y2LW,2023-MAR-24,2026-MAR-24
IGH- R1-2F,Switch 1,C9300L-24T-4X,FOC2651Y40C,2023-MAR-24,2026-MAR-24
IGH- R1-2F,Switch 2,C9300L-24P-4X,FOC2630Y27T,2023-MAR-24,2026-MAR-24
IGH- R1-3F,Switch 1,C9300L-24T-4X,FOC2651Y403,2022-SEP-02,2025-SEP-02
IGH- R1-3F,Switch 2,C9300L-24P-4X,FOC2630Y2ET,2022-SEP-02,2025-SEP-02
IGH- R1-4F,Switch 1,C9300L-24P-4X,FOC2630Y25D,2022-SEP-02,2025-SEP-02
IGH- R1-5F,Switch 1,C9300L-24P-4X,FOC2630Y2SZ,2022-SEP-02,2025-SEP-02
IGH- R1-GF,Switch 1,C9300L-24P-4X,FOC2630Y273,-,-
IGH- R2-1F,Switch 1,C9300L-24P-4X,FOC2630Y39X,2022-SEP-02,2025-SEP-02
IGH- R2-2F,Switch 1,C9300L-24T-4X,FOC2651Y3ZY,2023-MAR-24,2026-MAR-24
IGH- R2-2F,Switch 2,C9300L-24P-4X,FOC2630Y245,2023-MAR-24,2026-MAR-24
IGH- R2-3F,Switch 1,C9300L-24T-4X,FOC2651Z336,2023-MAR-24,2026-MAR-24
IGH- R2-3F,Switch 2,C9300L-24P-4X,FOC2629YM0T,2023-MAR-24,2026-MAR-24
IGH- R2-4F,Switch 1,C9300L-24P-4X,FOC2630Y1FZ,2022-SEP-02,2025-SEP-02
IGH- R2-5F,Switch 1,C9300L-24P-4X,FOC2630Y39T,2022-SEP-02,2025-SEP-02
IGH- R2-GF,Switch 1,C9300L-24T-4X,FOC2651Y3AA,2023-MAR-24,2026-MAR-24
IGH- R2-GF,Switch 2,C9300L-24P-4X,FOC2630Y2HX,2023-MAR-24,2026-MAR-24
IGH- R3-1F,Switch 1,C9300L-24P-4X,FOC2630Y2L1,2022-SEP-02,2025-SEP-02
IGH- R3-2F,Switch 1,C9300L-24P-4X,FOC2630Y2YF,2022-SEP-02,2025-SEP-02
IGH- R3-3F,Switch 1,C9300L-24P-4X,FOC2630Y4MF,2022-SEP-02,2025-SEP-02
IGH- R3-4F,Switch 1,C9300L-24P-4X,FOC2630Y4MC,2022-SEP-02,2025-SEP-02
IGH- R3-GF,Switch 1,C9300L-24P-4X,FOC2630Y373,2022-SEP-02,2025-SEP-02
IGH- R4-1F,Switch 1,C9300L-24P-4X,FOC2630Y2KZ,2022-SEP-02,2025-SEP-02
IGH- R4-2F,Switch 1,C9300L-24P-4X,FOC2630Y2N5,2022-SEP-02,2025-SEP-02
IGH- R4-3F,Switch 1,C9300L-24P-4X,FOC2630Y6XQ,2022-SEP-02,2025-SEP-02
IGH- R4-4F,Switch 1,C9300L-24P-4X,FOC2630Y2GG,2022-SEP-02,2025-SEP-02
IGH- R4-GF,Switch 1,C9300L-24P-4X,FOC2630Y440,2022-SEP-02,2025-SEP-02
IGH-Dist-SW,Switch 1,C9500-40X,FOC2629Y5SN,2023-MAR-20,2026-MAR-20
IGH-Dist-SW,Switch 2,C9500-40X,FOC2629YHRW,2023-MAR-20,2026-MAR-20
KNC-Dist-SW,Switch 1,C9500-16X,FOC2638YFEQ,2023-MAR-20,2026-MAR-20
KNC-Dist-SW,Switch 2,C9500-16X,FOC2639Y3B0,2023-MAR-20,2026-MAR-20
KNC-R1-00,Switch 1,C9300L-48T-4X,FOC2626YEL4,2022-AUG-26,2025-AUG-26
KNC-R1-00,Switch 2,C9300L-24P-4X,FOC2644Y9GB,2022-AUG-26,2025-AUG-26
KNC-R1-01,Switch 1,C9300L-24P-4X,FOC2644Y6Q5,2023-MAR-20,2026-MAR-20
KNC-R1-02,Switch 1,C9300L-24T-4X,FOC2650YDCA,2023-MAR-24,2026-MAR-24
KNC-R1-02,Switch 2,C9300L-24P-4X,FOC2644Y6PH,2023-MAR-24,2026-MAR-24
KNC-R1-03,Switch 1,C9300L-24T-4X,FOC2651Y5W8,2023-MAR-24,2026-MAR-24
KNC-R1-03,Switch 2,C9300L-24P-4X,FOC2644Y6AH,2023-MAR-24,2026-MAR-24
KNC-R2-00,Switch 1,C9300L-24P-4X,FOC2644Y9GC,2023-MAR-20,2026-MAR-20
KNC-R2-02,Switch 1,C9300L-24T-4X,FOC2651Y3QN,2023-MAR-24,2026-MAR-24
KNC-R2-02,Switch 2,C9300L-24P-4X,FOC2644Y6P3,2023-MAR-24,2026-MAR-24
KNC-R2-03,Switch 1,C9300L-24T-4X,FOC2651Y485,2023-MAR-24,2026-MAR-24
KNC-R2-03,Switch 2,C9300L-24P-4X,FOC2644Y6X0,2023-MAR-24,2026-MAR-24
LH-Dist-SW,Switch 1,C9500-16X,FOC2639Y3NE,2023-MAR-20,2026-MAR-20
LH-Dist-SW,Switch 2,C9500-16X,FJC27042MTN,2023-MAR-20,2026-MAR-20
LH-Part 1-LGF,Switch 1,C9300L-24P-4X,FOC2630Y1Q0,2022-SEP-02,2025-SEP-02
