Hostname,IP Address,Status,Chassis Type,Serial Number,Version
BHE-00-R1-ELV-SW1,192.168.100.51,Command Output,2540-24G-4SFP+  JL354A        ,CN95JYH087,YC.16.08.0026
BHE-02-R1-ELV-SW1,192.168.100.52,Command Output,2930F-48G-4SFP+  JL254A        ,CN93HKV2QF,WC.16.11.0005
BHE-05-R1-ELV-SW1,192.168.100.53,Command Output,2930F-48G-4SFP+  JL254A        ,CN93HKV31B,WC.16.11.0005
BHE-02-R2-SW1,192.168.100.55,Command Output,2930F-48G-4SFP+  JL254A        ,CN93HKV37W,WC.16.11.0005
BHE-05-R2-SW1,192.168.100.54,Command Output,2930F-48G-4SFP+  JL254A        ,CN93HKV28M,WC.16.11.0005
