Generated on: 2024-12-24 15:57:57
Interface,Switch,Instant Input Power
TenGigabitEthernet1/1/2,BHJ-A-9F-SW,-7.8
TenGigabitEthernet1/1/1,BHJ-A-GF-SW,-5.1
TenGigabitEthernet1/1/2,BHJ-A-GF-SW,-2.0
TenGigabitEthernet1/1/1,BHJ-B-3F-SW,-5.3
TenGigabitEthernet1/1/2,BHJ-B-3F-SW,-3.2
TenGigabitEthernet1/1/1,BHJ-B-6F-SW,-9.8
TenGigabitEthernet1/1/2,BHJ-B-6F-SW,-1.1
TenGigabitEthernet1/1/1,BHJ-B-9F-SW,-2.5
TenGigabitEthernet1/1/2,BHJ-B-9F-SW,-6.3
TenGigabitEthernet1/1/1,BHJ-B-GF-SW,-7.5
TenGigabitEthernet1/1/2,BHJ-B-GF-SW,-2.3
TenGigabitEthernet1/1/1,BHK-A-3F-SW,-11.2
TenGigabitEthernet1/1/2,BHK-A-3F-SW,-4.2
TenGigabitEthernet1/1/1,BHK-A-6F-SW,-5.8
TenGigabitEthernet1/1/2,BHK-A-6F-SW,-8.1
TenGigabitEthernet1/1/1,BHK-A-9F-SW,-3.1
TenGigabitEthernet1/1/2,BHK-A-9F-SW,-7.7
TenGigabitEthernet1/1/1,BHK-A-GF-SW,-7.1
TenGigabitEthernet1/1/2,BHK-A-GF-SW,-5.3
TenGigabitEthernet1/1/1,BHK-B-3F-SW,-19.1
TenGigabitEthernet1/1/2,BHK-B-3F-SW,-17.9
TenGigabitEthernet1/1/1,BHK-B-6F-SW,-11.0
TenGigabitEthernet1/1/2,BHK-B-6F-SW,-2.0
TenGigabitEthernet1/1/1,BHK-B-9F-SW,-4.0
TenGigabitEthernet1/1/2,BHK-B-9F-SW,-4.9
TenGigabitEthernet1/1/1,BHK-B-GF-SW,-6.1
TenGigabitEthernet1/1/2,BHK-B-GF-SW,-3.8
TenGigabitEthernet1/1/1,BHL-A-3F-SW,-7.9
TenGigabitEthernet1/1/2,BHL-A-3F-SW,-3.6
TenGigabitEthernet1/1/1,BHL-A-6F-SW,-3.2
TenGigabitEthernet1/1/2,BHL-A-6F-SW,-3.3
TenGigabitEthernet1/1/1,BHL-A-9F-SW,-10.1
TenGigabitEthernet1/1/2,BHL-A-9F-SW,-11.5
TenGigabitEthernet1/1/1,BHL-A-GF-SW,-7.0
TenGigabitEthernet1/1/2,BHL-A-GF-SW,-6.1
TenGigabitEthernet1/1/1,BHL-B-3F-SW,-5.3
TenGigabitEthernet1/1/2,BHL-B-3F-SW,-5.7
TenGigabitEthernet1/1/1,BHL-B-6F-SW,-3.7
TenGigabitEthernet1/1/2,BHL-B-6F-SW,-3.5
TenGigabitEthernet1/1/1,BHL-B-9F-SW,-14.2
TenGigabitEthernet1/1/2,BHL-B-9F-SW,-5.9
TenGigabitEthernet1/1/1,BHL-B-GF-SW,-3.3
TenGigabitEthernet1/1/2,BHL-B-GF-SW,-3.9
TenGigabitEthernet1/1/1,BHM-A-3F-SW,-5.0
TenGigabitEthernet1/1/2,BHM-A-3F-SW,-3.7
TenGigabitEthernet1/1/1,BHM-A-6F-SW,-4.2
TenGigabitEthernet1/1/2,BHM-A-6F-SW,-3.3
TenGigabitEthernet1/1/1,BHM-A-9F-SW,-3.9
TenGigabitEthernet1/1/2,BHM-A-9F-SW,-14.1
TenGigabitEthernet1/1/1,BHM-A-GF-SW,-5.1
TenGigabitEthernet1/1/2,BHM-A-GF-SW,-5.3
TenGigabitEthernet1/1/1,BHM-B-3F-SW,-3.3
TenGigabitEthernet1/1/2,BHM-B-3F-SW,-5.1
TenGigabitEthernet1/1/1,BHM-B-6F-SW,-3.4
TenGigabitEthernet1/1/2,BHM-B-6F-SW,-4.8
TenGigabitEthernet1/1/1,BHM-B-9F-SW,-4.5
TenGigabitEthernet1/1/2,BHM-B-9F-SW,-9.6
Te1/0/1,BHM-B-GF-Dist-SW,-2.5
Te1/0/2,BHM-B-GF-Dist-SW,-6.8
Te1/0/3,BHM-B-GF-Dist-SW,-4.9
Te1/0/4,BHM-B-GF-Dist-SW,-4.2
Te1/0/5,BHM-B-GF-Dist-SW,-7.8
Te1/0/6,BHM-B-GF-Dist-SW,-3.2
Te1/0/7,BHM-B-GF-Dist-SW,-5.2
Te1/0/8,BHM-B-GF-Dist-SW,-4.7
Te1/0/9,BHM-B-GF-Dist-SW,-3.5
Te1/0/10,BHM-B-GF-Dist-SW,-4.1
Te1/0/11,BHM-B-GF-Dist-SW,-3.6
Te1/0/12,BHM-B-GF-Dist-SW,-8.9
Te1/0/13,BHM-B-GF-Dist-SW,-3.7
Te1/0/14,BHM-B-GF-Dist-SW,-2.2
Te1/0/15,BHM-B-GF-Dist-SW,-3.2
Te1/0/16,BHM-B-GF-Dist-SW,-40.0
Te1/1/1,BHM-B-GF-Dist-SW,-3.9
Te1/1/2,BHM-B-GF-Dist-SW,-1.8
Te1/1/3,BHM-B-GF-Dist-SW,-7.0
Te1/1/4,BHM-B-GF-Dist-SW,-5.1
Te2/0/1,BHM-B-GF-Dist-SW,-4.4
Te2/0/2,BHM-B-GF-Dist-SW,-12.2
Te2/0/3,BHM-B-GF-Dist-SW,-7.6
Te2/0/4,BHM-B-GF-Dist-SW,-7.7
Te2/0/5,BHM-B-GF-Dist-SW,-9.5
Te2/0/6,BHM-B-GF-Dist-SW,-3.2
Te2/0/8,BHM-B-GF-Dist-SW,-2.8
Te2/0/9,BHM-B-GF-Dist-SW,-4.3
Te2/0/10,BHM-B-GF-Dist-SW,-6.9
Te2/0/11,BHM-B-GF-Dist-SW,-4.3
Te2/0/12,BHM-B-GF-Dist-SW,-19.0
Te2/0/13,BHM-B-GF-Dist-SW,-2.7
Te2/0/14,BHM-B-GF-Dist-SW,-2.1
Te2/0/15,BHM-B-GF-Dist-SW,-3.6
Te2/0/16,BHM-B-GF-Dist-SW,-6.1
Te2/1/1,BHM-B-GF-Dist-SW,-3.3
Te2/1/2,BHM-B-GF-Dist-SW,-3.1
Te2/1/3,BHM-B-GF-Dist-SW,-11.7
Te2/1/4,BHM-B-GF-Dist-SW,-6.4
TenGigabitEthernet1/1/1,BHM-B-GF-SW,-16.6
TenGigabitEthernet1/1/2,BHM-B-GF-SW,-4.5
TenGigabitEthernet1/1/1,BHN-A-3F-SW,-3.3
TenGigabitEthernet1/1/2,BHN-A-3F-SW,-3.5
TenGigabitEthernet1/1/1,BHN-A-6F-SW,-4.6
TenGigabitEthernet1/1/2,BHN-A-6F-SW,-3.4
TenGigabitEthernet1/1/1,BHN-A-9F-SW,-5.8
TenGigabitEthernet1/1/2,BHN-A-9F-SW,-4.3
TenGigabitEthernet1/1/1,BHN-A-GF-SW,-14.1
TenGigabitEthernet1/1/2,BHN-A-GF-SW,-3.3
TenGigabitEthernet1/1/1,BHN-B-3F-SW,-4.7
TenGigabitEthernet1/1/2,BHN-B-3F-SW,-40.0
TenGigabitEthernet1/1/1,BHN-B-6F-SW,-40.0
TenGigabitEthernet1/1/2,BHN-B-6F-SW,-3.4
TenGigabitEthernet1/1/1,BHN-B-9F-SW,-2.1
TenGigabitEthernet1/1/2,BHN-B-9F-SW,-6.1
TenGigabitEthernet1/1/1,BHN-B-GF-SW,-2.6
TenGigabitEthernet1/1/2,BHN-B-GF-SW,-3.0
TenGigabitEthernet1/1/1,BHP-A-3F-SW,-3.5
TenGigabitEthernet1/1/2,BHP-A-3F-SW,-3.9
TenGigabitEthernet1/1/1,BHP-A-6F-SW,-4.5
TenGigabitEthernet1/1/2,BHP-A-6F-SW,-5.1
TenGigabitEthernet1/1/1,BHP-A-9F-SW,-7.1
TenGigabitEthernet1/1/2,BHP-A-9F-SW,-4.6
TenGigabitEthernet1/1/1,BHP-A-GF-SW,-3.6
TenGigabitEthernet1/1/2,BHP-A-GF-SW,-3.6
TenGigabitEthernet1/1/1,BHP-B-3F-SW,-6.3
TenGigabitEthernet1/1/2,BHP-B-3F-SW,-6.5
TenGigabitEthernet1/1/1,BHP-B-6F-SW,-3.9
TenGigabitEthernet1/1/2,BHP-B-6F-SW,-3.1
TenGigabitEthernet1/1/1,BHP-B-9F-SW,-5.8
TenGigabitEthernet1/1/2,BHP-B-9F-SW,-2.9
TenGigabitEthernet1/1/1,BHP-B-GF-SW,-2.6
TenGigabitEthernet1/1/2,BHP-B-GF-SW,-3.5
