Interface,Switch,Instant Input Power
Te2/0/15,BT-Dist-SW,-2.1
Te1/0/1,CC-Dist-SW,-2.7
Te1/0/2,CC-Dist-SW,-7.3
Te1/0/3,CC-Dist-SW,-6.7
Te1/0/4,CC-Dist-SW,-12.3
Te1/0/5,CC-Dist-SW,-3.7
Te1/0/6,CC-Dist-SW,-4.2
Te1/0/7,CC-Dist-SW,-4.4
Te1/0/8,CC-Dist-SW,-7.1
Te1/0/9,CC-Dist-SW,-22.7
Te1/0/10,CC-Dist-SW,-7.1
Te1/0/11,CC-Dist-SW,-3.4
Te1/0/15,CC-Dist-SW,-2.6
Te1/0/16,CC-Dist-SW,-40.0
Te2/0/2,CC-Dist-SW,-14.0
Te2/0/3,CC-Dist-SW,-12.8
Te2/0/4,CC-Dist-SW,-40.0
Te2/0/5,CC-Dist-SW,-5.5
Te2/0/6,CC-Dist-SW,-6.4
Te2/0/7,CC-Dist-SW,-4.6
Te2/0/8,CC-Dist-SW,-3.1
Te2/0/9,CC-Dist-SW,-11.8
Te2/0/10,CC-Dist-SW,-10.1
Te2/0/11,CC-Dist-SW,-3.4
Te2/0/15,CC-Dist-SW,-3.3
Te2/0/16,CC-Dist-SW,-4.6
Te1/0/1,CHY-Dist-SW,-2.9
Te1/0/2,CHY-Dist-SW,-3.9
Te1/0/3,CHY-Dist-SW,-3.8
Te1/0/4,CHY-Dist-SW,-2.6
Te1/0/5,CHY-Dist-SW,-3.6
Te1/0/6,CHY-Dist-SW,-3.9
Te1/0/15,CHY-Dist-SW,-3.2
Te1/0/16,CHY-Dist-SW,-40.0
Te2/0/1,CHY-Dist-SW,-2.4
Te2/0/2,CHY-Dist-SW,-3.6
Te2/0/3,CHY-Dist-SW,-3.3
Te2/0/4,CHY-Dist-SW,-3.1
Te2/0/5,CHY-Dist-SW,-3.1
Te2/0/6,CHY-Dist-SW,-3.8
Te2/0/15,CHY-Dist-SW,-10.2
Te2/0/16,CHY-Dist-SW,-3.3
Te1/0/1,Corelab-Dist-SW,-2.7
Te1/0/2,Corelab-Dist-SW,-40.0
Te1/0/3,Corelab-Dist-SW,-40.0
Te1/0/13,Corelab-Dist-SW,-6.1
Te1/0/14,Corelab-Dist-SW,-5.7
Te1/0/15,Corelab-Dist-SW,-3.1
Te1/0/16,Corelab-Dist-SW,-40.0
Te2/0/1,Corelab-Dist-SW,-2.1
Te2/0/2,Corelab-Dist-SW,-4.8
Te2/0/3,Corelab-Dist-SW,-3.0
Te2/0/13,Corelab-Dist-SW,-3.5
Te2/0/14,Corelab-Dist-SW,-2.6
Te2/0/15,Corelab-Dist-SW,-2.0
Te2/0/16,Corelab-Dist-SW,-6.2
Te1/0/1,DH-Dist-SW,-7.3
