Hostname,IP Address,Status,System Name,Software Version,MAC Address,Serial Number
Acad-B-RCC-Stack-3,192.168.95.8,Command Output,Acad-B-Stack-3,WC.16.08.0001,8030e0-843300,CN88HKV0G1
CMD-SW1,192.168.100.241,Command Output,CMD2-GND-ASw1,YC.16.08.0020,20677c-479740,CN84JYH11V
FT1-14F,192.168.100.233,Command Output,FT1-14-ASW1,YC.16.02.0012,20677c-4765c0,CN84JYH142
FT1-3F,192.168.100.231,Command Output,FT1-03-ASW1,YC.16.07.0003,3821c7-428b40,CN95JYH04C
FT1-8F,192.168.100.232,Command Output,FT1-08-ASW1,YC.16.02.0012,20677c-4763c0,CN84JYH0MB
FT2-14F,192.168.100.236,Command Output,FT2-14-ASW1,YC.16.02.0012,20677c-47f440,CN84JYH0TN
FT2-3F,192.168.100.234,Command Output,FT2-03-ASW1,YC.16.06.0006,ecebb8-38aea0,CN70JYH0FD
FT2-8F,192.168.100.235,Command Output,FT2-08-ASW1,YC.16.06.0006,ecebb8-370f80,CN79JYH09T
FT3-14F,192.168.100.239,Command Output,FT3-14-ASW1,YC.16.06.0006,d06726-f642c0,CN7AJYJ0TB
FT3-3F,192.168.100.237,Command Output,FT3-03-ASW1,YC.16.05.0007,8030e0-9a6740,CN80JYJ0DX
FT3-8F,192.168.100.238,Command Output,FT3-08-ASW1,YC.16.06.0006,d06726-f59fc0,CN7AJYJ0XF
FT4/Clinic ,192.168.100.249,Command Output,FT4,WC.16.08.0001,9020c2-4be700,CN97HKZ0NK
ST1-14F,192.168.100.227,Command Output,ST1-14th-Floor,YC.16.08.0020,ecebb8-380f60,CN70JYH0C2
ST1-3F,192.168.100.225,Command Output,ST-1-3rd-Floor,YC.16.08.0020,ecebb8-37fe40,CN79JYH0B6
ST1-8F,192.168.100.226,Command Output,ST1-9th-Floor,YC.16.08.0020,ecebb8-384f40,CN70JYH091
ST2-3F,192.168.100.223,Command Output,ST2-3rd-Floor,YC.16.08.0020,ecebb8-387fe0,CN70JYH081
ST2-8F,192.168.100.222,Command Output,ST2-09,WC.16.11.0005,3821c7-b02900,CN93HKV2YP
