Hostname,IP Address,Status,System Name,Software Version,MAC Address,Serial Number,Chassis Type,Version
Acad-B-RCC-04to06-PoE-Sw,192.168.95.22,Command Output,ACAD-B-RCC-4th-to-6th-PoE-22,YC.16.08.0020,8030e0-94d400,CN8AJYK1P3,2540-24G-PoE+-4SFP+  JL356A,YC.16.08.0020
Acad-B-RCC-Stack-1,192.168.95.6,Command Output,ACAD-B-STACK-1,WC.16.08.0001,8030e0-84e4c0,CN88HKV0KM,2930F-48G-4SFP+  JL254A,WC.16.08.0001
Acad-B-RCC-Stack-3,192.168.95.8,Command Output,Acad-B-Stack-3,WC.16.08.0001,20677c-459a80,"Memory   - Total   : 0           
             Free    : 0           



 VSF-Member :4

  ROM Version        :                               
  Up Time            : 0 secs         
  CPU Util (%)       : 0           
  MAC Addr           : 8030e0-840280    
  Serial Number      :",2930F-48G-4SFP+  JL254A,WC.16.08.0001
BHB-02-R2-SW1,192.168.100.25,Command Output,BH-B-02-R2-ASW1,YC.16.08.0020,8030e0-9a8580,CN80JYJ092,2540-48G-4SFP+  JL355A,YC.16.08.0020
BHE-00-R1-ELV-SW1,192.168.100.51,Command Output,Hostel-E-ELV,YC.16.08.0026,3821c7-427c40,CN95JYH087,2540-24G-4SFP+  JL354A,YC.16.08.0026
BHE-02-R1-ELV-SW1,192.168.100.52,Command Output,Hostel-E-2R1,WC.16.11.0005,3821c7-b09580,CN93HKV2QF,2930F-48G-4SFP+  JL254A,WC.16.11.0005
BHE-02-R2-SW1,192.168.100.55,Command Output,Hostel-E-2R2,WC.16.11.0005,3821c7-b09d00,CN93HKV37W,2930F-48G-4SFP+  JL254A,WC.16.11.0005
BHE-05-R1-ELV-SW1,192.168.100.53,Command Output,Hostel-E-5R1,WC.16.11.0005,3821c7-b06a40,CN93HKV31B,2930F-48G-4SFP+  JL254A,WC.16.11.0005
BHE-05-R2-SW1,192.168.100.54,Command Output,Hostel-E-5R2,WC.16.11.0005,3821c7-afee80,CN93HKV28M,2930F-48G-4SFP+  JL254A,WC.16.11.0005
BHH-02-R1-ELV-SW1,192.168.100.82,Command Output,BH-H-02-R1-ASW1,YC.16.08.0020,8030e0-9a6180,CN80JYJ00K,2540-48G-4SFP+  JL355A,YC.16.08.0020
CMD-SW1,192.168.100.241,Command Output,CMD2-GND-ASw1,YC.16.08.0020,20677c-479740,CN84JYH11V,2540-24G-4SFP+  JL354A,YC.16.08.0020
Dining hall-GF,192.168.100.38,Error,,,,,,
FT1-14F,192.168.100.233,Command Output,FT1-14-ASW1,YC.16.02.0012,20677c-4765c0,CN84JYH142,2540-24G-4SFP+  JL354A,YC.16.02.0012
FT1-3F,192.168.100.231,Command Output,FT1-03-ASW1,YC.16.07.0003,3821c7-428b40,CN95JYH04C,2540-24G-4SFP+  JL354A,YC.16.07.0003
FT1-8F,192.168.100.232,Command Output,FT1-08-ASW1,YC.16.02.0012,20677c-4763c0,CN84JYH0MB,2540-24G-4SFP+  JL354A,YC.16.02.0012
FT2-14F,192.168.100.236,Command Output,FT2-14-ASW1,YC.16.02.0012,20677c-47f440,CN84JYH0TN,2540-24G-4SFP+  JL354A,YC.16.02.0012
FT2-3F,192.168.100.234,Command Output,FT2-03-ASW1,YC.16.06.0006,ecebb8-38aea0,CN70JYH0FD,2540-24G-4SFP+  JL354A,YC.16.06.0006
FT2-8F,192.168.100.235,Command Output,FT2-08-ASW1,YC.16.06.0006,ecebb8-370f80,CN79JYH09T,2540-24G-4SFP+  JL354A,YC.16.06.0006
FT3-14F,192.168.100.239,Command Output,FT3-14-ASW1,YC.16.06.0006,d06726-f642c0,CN7AJYJ0TB,2540-48G-4SFP+  JL355A,YC.16.06.0006
FT3-3F,192.168.100.237,Command Output,FT3-03-ASW1,YC.16.05.0007,8030e0-9a6740,CN80JYJ0DX,N/A,YC.16.05.0007
FT3-8F,192.168.100.238,Command Output,FT3-08-ASW1,YC.16.06.0006,d06726-f59fc0,CN7AJYJ0XF,2540-48G-4SFP+  JL355A,YC.16.06.0006
FT4/Clinic ,192.168.100.249,Command Output,FT4,WC.16.08.0001,9020c2-4be700,CN97HKZ0NK,2930F-8G-PoE+-2SFP+  JL258A,WC.16.08.0001
PCH-A-02-SW1,192.168.9.21,Command Output,PCH-BlkA-02-ASW1,YC.16.08.0020,d06726-f54fc0,CN7AJYJ0Y5,2540-48G-4SFP+  JL355A,YC.16.08.0020
PCH-A-02-SW2,192.168.9.22,Command Output,PCH-BlkA-02-ASW2,YC.16.08.0020,d06726-f56fc0,CN7AJYJ0Q0,2540-48G-4SFP+  JL355A,YC.16.08.0020
PCH-A-05-SW1,192.168.9.23,Command Output,PCH-BlkA-05-ASW1,YC.16.08.0020,d06726-f6f1c0,CN7AJYJ0WJ,2540-48G-4SFP+  JL355A,YC.16.08.0020
PCH-A-05-SW2,192.168.9.24,Command Output,PCH-BLK0A-05-ASW2,YC.16.08.0020,d06726-f53f40,CN7AJYJ0Y4,2540-48G-4SFP+  JL355A,YC.16.08.0020
PCH-B-02-SW1,192.168.9.25,Error,,,,,,
PCH-B-02-SW2,192.168.9.26,Error,,,,,,
PCH-B-05-SW1,192.168.9.27,Error,,,,,,
PCH-B-05-SW2,192.168.9.28,Error,,,,,,
Pch1-Flr-2-Wing-A-Sw1,10.1.128.11,Command Output,Pch1-Flr-2-Wing-A-Sw1,WC.16.11.0001,14abec-037cc0,TW43HKV0C4,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch1-Flr-2-Wing-B-Sw1,10.1.128.15,Command Output,Flr-2-Wing-B-Sw1,WC.16.11.0001,d4e053-014d80,CN31HKV07Z,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch1-Flr-5-Wing-A-Sw1,10.1.128.13,Command Output,PCH1-WingA-5Flr-Sw1,WC.16.11.0001,d4e053-011b00,CN31HKV09Z,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch1-Flr-5-Wing-B-Sw1,10.1.128.17,Command Output,Pch1-Flr-5-Wing-B-Sw1,WC.16.11.0001,d4e053-017d80,CN31HKV08C,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch2-Flr-2-Wing-A-Sw1,10.1.128.21,Command Output,Pch2-Flr-2-Wing-A-Sw1,WC.16.11.0001,14abec-034c00,TW43HKV098,2930F-48G-4SFP+  JL254A,WC.16.11.0001
Pch2-Flr-2-Wing-B-Sw1,10.1.128.26,Command Output,Pch2-Flr-2-Wing-B-Sw1,WC.16.11.0001,14abec-03bac0,TW43HKV04V,2930F-48G-4SFP+  JL254A,WC.16.11.0001
