PoE Status,Serial Number,Description,Start Date,End Date,OEM,Location,Hostname,Name
PoE,FOC2630Y2M3,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-00-ACC,CHY-00-ACC,Switch 1
Non PoE,FOC2650YLZJ,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-00-ACC,CHY-00-ACC,Switch 2
Non PoE,FOC2651Y3BH,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-00-ACC,CHY-00-ACC,Switch 3
PoE,FOC2630Y256,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-01-ACC,CHY-01-ACC,Switch 1
Non PoE,FOC2650YK6Z,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-01-ACC,CHY-01-ACC,Switch 2
Non PoE,FOC2650YJRX,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-01-ACC,CHY-01-ACC,Switch 3
Non PoE,FOC2650YNC2,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-01-ACC,CHY-01-ACC,Switch 4
PoE,FOC2630Y4NG,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-02-ACC,CHY-02-ACC,Switch 1
Non PoE,FOC2650YNG0,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-02-ACC,CHY-02-ACC,Switch 2
Non PoE,FOC2650YLYV,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-02-ACC,CHY-02-ACC,Switch 3
PoE,FOC2630Y2JN,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-03-ACC,CHY-03-ACC,Switch 1
Non PoE,FOC2650YL0X,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-03-ACC,CHY-03-ACC,Switch 2
Non PoE,FOC2650YMEN,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-03-ACC,CHY-03-ACC,Switch 3
Non PoE,FOC2650YJRS,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-04-ACC,CHY-04-ACC,Switch 1
Non PoE,FOC2650YK44,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-04-ACC,CHY-04-ACC,Switch 2
PoE,FOC2630Y3JU,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-04-ACC,CHY-04-ACC,Switch 3
PoE,FOC2630Y2GT,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-05-ACC,CHY-05-ACC,Switch 1
Non PoE,FOC2650YKFA,C9300L-48T-4X,2022-SEP-02,2025-SEP-02,Cisco,CHY-05-ACC,CHY-05-ACC,Switch 2
