PoE Status,Serial Number,Description,Start Date,End Date,OEM,Location,Hostname,Name
PoE,FOC2630Y21N,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,RCC-R2-GF,RCC-R2-GF,Switch 1
PoE,FOC2630Y723,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-1F-R1,SNCC-1F-R1,Switch 1
Non PoE,FOC2651Y3AG,C9300L-24T-4X,2023-MAR-24,2026-MAR-24,Cisco,SNCC-1F-R2,SNCC-1F-R2,Switch 1
PoE,FOC2644Y7AC,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,SNCC-1F-R3,SNCC-1F-R3,Switch 1
Non PoE,FOC2643YJAE,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-Dist-SW,SNCC-Dist-SW,Switch 1
Non PoE,FOC2631YAHT,C9500-16X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-Dist-SW,SNCC-Dist-SW,Switch 2
PoE,FOC2629YUDE,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-GF-R1,SNCC-GF-R1,Switch 1
Non PoE,FOC2651Y3AS,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-GF-R1,SNCC-GF-R1,Switch 2
PoE,FOC2630Y3MA,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-GF-R2,SNCC-GF-R2,Switch 1
Non PoE,FOC2651Y3C7,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-GF-R2,SNCC-GF-R2,Switch 2
PoE,FOC2644Y91W,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,SNCC-GF-R3,SNCC-GF-R3,Switch 1
PoE,FOC2644Y6B9,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,SNCC-GF-R4,SNCC-GF-R4,Switch 1
PoE,FOC2644Y9MW,C9300L-24P-4X,2023-MAR-20,2026-MAR-20,Cisco,SNCC-GF-R5,SNCC-GF-R5,Switch 1
PoE,FOC2630Y0TM,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,SNCC-GF-R6,SNCC-GF-R6,Switch 1
Non PoE,FOC2651YJUQ,C9300L-24T-4X,2023-JAN-26,2026-JAN-26,Cisco,TIP-A wing-1F,TIP-A wing-1F,Switch 1
PoE,FOC2630Y4DG,C9300L-24P-4X,2023-JAN-26,2026-JAN-26,Cisco,TIP-A wing-1F,TIP-A wing-1F,Switch 2
Non PoE,FOC2651YJJ0,C9300L-24T-4X,2023-JAN-26,2026-JAN-26,Cisco,TIP-A wing-2F,TIP-A wing-2F,Switch 1
PoE,,C9300L-24P-4X - Provisioned,2023-JAN-26,2026-JAN-26,Cisco,TIP-A wing-2F,TIP-A wing-2F,Switch 2
PoE,FOC2630Y1JJ,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-A wing-3F,TIP-A wing-3F,Switch 1
PoE,FOC2630Y2YE,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-A wing-4F,TIP-A wing-4F,Switch 1
PoE,FOC2630Y2J6,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-A wing-GF,TIP-A wing-GF,Switch 1
Non PoE,FOC2651YJHU,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-A wing-GF,TIP-A wing-GF,Switch 2
Non PoE,FOC2651YJVV,C9300L-24T-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-B wing-1F,TIP-B wing-1F,Switch 1
PoE,FOC2629YU0A,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-B wing-1F,TIP-B wing-1F,Switch 2
PoE,FOC2630Y3XK,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-B wing-2F,TIP-B wing-2F,Switch 1
PoE,FOC2630Y24C,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-B wing-3F,TIP-B wing-3F,Switch 1
PoE,FOC2630Y3JL,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-B wing-4F,TIP-B wing-4F,Switch 1
PoE,FOC2630Y2QP,C9300L-24P-4X,2022-SEP-02,2025-SEP-02,Cisco,TIP-B wing-5F,TIP-B wing-5F,Switch 1
PoE,FOC2630Y25Q,C9300L-24P-4X,2023-JAN-26,2026-JAN-26,Cisco,TIP-B wing-GF,TIP-B wing-GF,Switch 1
Non PoE,FOC2651YJKL,C9300L-24T-4X,2023-JAN-26,2026-JAN-26,Cisco,TIP-B wing-GF,TIP-B wing-GF,Switch 2
PoE,,C9300L-24P-4X - Provisioned,2023-JAN-26,2026-JAN-26,Cisco,TIP-B wing-GF,TIP-B wing-GF,Switch 3
Non PoE,FOC2631YACR,C9500-16X,-,-,Cisco,TIP-Dist-SW,TIP-Dist-SW,Switch 1
Non PoE,FOC2631Y8DF,C9500-16X,-,-,Cisco,TIP-Dist-SW,TIP-Dist-SW,Switch 2
