Hostname,Name,Description,Serial Number,Start Date,End Date
R1,Switch 1,C9300L-48T-4X,FOC2650YQ6G,-,-
R2,Switch 1,C9300L-48T-4X,FOC2650YJNY,-,-
R3,Switch 1,C9500-16X,FOC2631YCUT,-,-
R3,Switch 2,C9500-16X,FOC2631YD89,-,-
